Category,Count,Avg_Coverage,Avg_Unique
Biofuel/Energy,2,100.0,36.0
Seasonal/Calendar,5,100.0,246.8
Market Regime,2,99.96041171813144,902.0
Sentiment (General),6,99.84164687252573,8.0
Price Data,12,99.74927421483241,989.8333333333334
Volume,1,99.36658749010293,1111.0
Engagement Metrics,1,98.73317498020586,117.0
Social Media,2,96.91211401425178,50.0
Trump/Political,4,95.56611243072051,3.25
Weather,9,95.45174628310019,355.1111111111111
Correlations,27,94.979619366001,1188.5925925925926
Target Variables,4,93.84402216943785,1005.0
Sentiment (Derived),13,92.28942079298373,11.461538461538462
Currency/FX,22,91.48132152882745,1093.590909090909
ICE/Enforcement,2,90.14251781472684,1.0
Other Features,32,87.28473871733966,260.1875
Tariff Intelligence,9,80.52256532066508,3.6666666666666665
Technical Indicators,19,71.23807142559485,684.3684210526316
Policy Features,5,56.42121931908155,5.6
China Relations,5,44.33887569279493,3.8
CFTC/Positioning,4,5.7007125890736345,61.0
News Intelligence,3,0.47505938242280277,3.0
