feature,coverage,unique_values
target_1w,1.0,1058
target_1m,0.9754552652414885,1037
target_3m,0.9247822644497229,1000
target_6m,0.8535233570863024,925
zl_price_current,1.0,1058
zl_price_lag1,0.9992082343626286,1058
zl_price_lag7,0.9944576405384006,1052
zl_price_lag30,0.9762470308788599,1037
return_1d,0.9873317498020586,1235
return_7d,0.9928741092636579,1243
ma_7d,1.0,1236
ma_30d,1.0,1242
volatility_30d,0.9992082343626286,1249
zl_volume,1.0,1111
feature_vix_stress,1.0,921
feature_harvest_pace,1.0,8
feature_geopolitical_volatility,0.836104513064133,9
feature_biofuel_cascade,1.0,31
feature_hidden_correlation,0.9762470308788599,1222
feature_biofuel_ethanol,1.0,41
big8_composite_score,1.0,1251
corr_zl_crude_7d,0.9992082343626286,1251
corr_zl_palm_7d,0.9992082343626286,1251
corr_zl_vix_7d,0.9992082343626286,1251
corr_zl_dxy_7d,0.9992082343626286,1251
corr_zl_corn_7d,0.9992082343626286,1251
corr_zl_wheat_7d,0.9992082343626286,1251
corr_zl_crude_30d,0.9992082343626286,1251
corr_zl_palm_30d,0.9992082343626286,1251
corr_zl_vix_30d,0.9992082343626286,1251
corr_zl_dxy_30d,0.9992082343626286,1251
corr_zl_corn_30d,0.9992082343626286,1251
corr_zl_wheat_30d,0.9992082343626286,1251
corr_zl_crude_90d,0.9992082343626286,1251
corr_zl_palm_90d,0.9992082343626286,1251
corr_zl_vix_90d,0.9992082343626286,1251
corr_zl_dxy_90d,0.9992082343626286,1251
corr_zl_corn_90d,0.9992082343626286,1251
corr_zl_crude_180d,0.9992082343626286,1251
corr_zl_palm_180d,0.9992082343626286,1251
corr_zl_vix_180d,0.9992082343626286,1251
corr_zl_dxy_180d,0.9992082343626286,1251
corr_zl_crude_365d,0.9992082343626286,1251
corr_zl_palm_365d,0.9992082343626286,1251
corr_zl_vix_365d,0.9992082343626286,1251
corr_zl_dxy_365d,0.9992082343626286,1251
corr_zl_corn_365d,0.9992082343626286,1251
corr_palm_crude_30d,0.9992082343626286,1251
corr_corn_wheat_30d,0.9992082343626286,1251
crude_price,1.0,1077
palm_price,1.0,867
corn_price,1.0,824
wheat_price,1.0,849
vix_level,0.9992082343626286,883
dxy_level,1.0,868
seasonal_index,1.0,12
monthly_zscore,1.0,1203
yoy_change,0.7110055423594616,887
oil_price_per_cwt,1.0,1058
bean_price_per_bushel,1.0,985
meal_price_per_ton,1.0,955
crush_margin,1.0,1251
crush_margin_7d_ma,1.0,1251
crush_margin_30d_ma,1.0,1251
china_mentions,1.0,4
china_sentiment,1.0,7
import_demand_index,1.0,12
china_posts_7d_ma,0.06967537608867776,4
china_sentiment_30d_ma,1.0,15
brazil_month,1.0,12
export_seasonality_factor,1.0,3
brazil_temperature_c,1.0,478
brazil_precipitation_mm,0.8028503562945368,262
growing_degree_days,1.0,476
export_capacity_index,1.0,6
harvest_pressure,1.0,195
brazil_precip_30d_ma,0.9857482185273159,537
brazil_temp_7d_ma,1.0,637
trumpxi_sentiment_volatility,1.0,3
tension_index,0.22486144101346,21
volatility_multiplier,1.0,5
trumpxi_volatility_30d_ma,1.0,3
china_tariff_rate,0.56215360253365,3
brazil_market_share,1.0,4
us_export_impact,0.56215360253365,3
trade_war_intensity,1.0,3
trade_war_impact_score,1.0,4
event_impact_level,1.0,4
days_to_next_event,1.0,822
days_since_last_event,1.0,34
event_vol_mult,1.0,6
palm_lag1,0.5613618368962787,513
palm_lag2,0.5613618368962787,513
palm_lag3,0.5613618368962787,512
palm_momentum_3d,0.5463182897862233,680
crude_lag1,0.56215360253365,608
crude_lag2,0.56215360253365,608
crude_momentum_2d,0.5597783056215361,696
vix_lag1,0.5605700712589073,520
vix_lag2,0.5605700712589073,521
dxy_lag1,0.5613618368962787,488
dxy_lag2,0.5613618368962787,487
dxy_momentum_3d,0.5566112430720507,691
corn_lag1,0.5613618368962787,454
wheat_lag1,0.5613618368962787,461
corn_soy_ratio_lag1,0.5613618368962787,698
palm_lead2_correlation,0.56215360253365,699
crude_lead1_correlation,0.56215360253365,699
vix_lead1_correlation,0.56215360253365,699
dxy_lead1_correlation,0.56215360253365,699
lead_signal_confidence,1.0,699
palm_accuracy_30d,0.9960411718131433,33
crude_accuracy_30d,0.9992082343626286,33
leadlag_zl_price,1.0,1058
weather_brazil_temp,1.0,478
weather_brazil_precip,0.8028503562945368,262
weather_argentina_temp,1.0,139
weather_us_temp,0.9992082343626286,391
avg_sentiment,0.9960411718131433,11
sentiment_volatility,1.0,3
sentiment_volume,1.0,4
day_of_week,1.0,5
month,1.0,12
quarter,1.0,4
cftc_commercial_long,0.057007125890736345,61
cftc_commercial_short,0.057007125890736345,61
cftc_commercial_net,0.057007125890736345,61
cftc_open_interest,0.057007125890736345,61
news_total_count_enhanced,1.0,3
tariff_total_mentions,1.0,3
china_total_mentions,1.0,4
brazil_article_count,1.0,3
brazil_harvest_signals,1.0,3
policy_total_mentions,1.0,4
policy_momentum,1.0,3
weather_article_count,1.0,3
