feature,category,importance_weight,importance_gain
target_1m,Other,157,126.87709755668791
target_3m,Other,147,1377.5591509058504
zl_price_lag30,Price,144,149.3746035080765
ma_30d,Other,142,197.64579321258464
volatility_30d,Other,120,94.09450552622505
target_1w,Other,95,113.86456463261048
ma_7d,Other,75,104.80047243599998
zl_price_lag7,Price,63,99.75028868301592
corr_zl_vix_7d,VIX/Volatility,63,32.732257221111105
corr_zl_dxy_7d,Other,52,37.87502575671154
corr_zl_palm_7d,Cross-Commodity,52,39.107522607019234
return_7d,Other,49,22.446764857367327
corr_zl_crude_7d,Cross-Commodity,45,16.52597456406666
return_1d,Other,31,16.610673894516133
zl_price_lag1,Price,31,25.617976952483872
zl_price_current,Price,29,62.159684457586216
social_avg_sentiment,Social Sentiment,1,45.9477081
midwest_weather_signals,Other,0,0.0
drought_signals,Other,0,0.0
biodiesel_demand_signals,Other,0,0.0
biofuel_article_count,Other,0,0.0
tariff_momentum,Other,0,0.0
flood_signals,Other,0,0.0
policy_momentum,Other,0,0.0
policy_weighted_score,Other,0,0.0
south_america_weather_impact,Other,0,0.0
argentina_harvest_signals,Other,0,0.0
brazil_harvest_signals,Other,0,0.0
china_cancellation_signals,Other,0,0.0
china_purchase_signals,Other,0,0.0
